"nemotecnico","run","clase"
"CFMDICRECP","9431","Balanceados Nacional"
"CFMDIMODEA","9432","Balanceados Nacional"
"CFMDIMODEF","9432","Balanceados Nacional"
"CFMDIMODEP","9432","Balanceados Nacional"
"CFMDOB","9043","Balanceados Nacional"
"CFMEAAGCUI","9576","Balanceados Nacional"
"CFMEAASCUI","8457","RV Nacional"
"CFMEACHCUI","8381","RV Nacional"
"CFMEACOCUI","9575","Balanceados Nacional"
"CFMEADCCUI","8918","RV Nacional"
"CFMEADPCUI","9054","RF Nacional"
"CFMEAEUCUI","8456","RV Nacional"
"CFMEAEXCUI","8455","RF Nacional"
"CFMEAHYCUI","8946","RF Nacional"
"CFMEAMMCUI","8459","RF Nacional"
"CFMEAMOCUI","9577","Balanceados Nacional"
"CFMEARNCUI","8411","RF Nacional"
"CFMEARPCUI","8363","RF Nacional"
"CFMEAUFCUI","8853","RF Nacional"
"CFMEAUSCUI","8458","RV Nacional"
"CFMELEAH-D","10260","Balanceados Nacional"
"CFMELEAH-L","10260","Balanceados Nacional"
"CFMESTACPA","9291","RF Nacional"
"CFMESTACPI","9291","RF Nacional"
"CFMESTACPV","9291","RF Nacional"
"CFMESTAESC","8536","RV Nacional"
"CFMESTAESI","8536","RV Nacional"
