"RUT","Nemotecnico","Nombre","Tipo.de.Activo","Tipo de Activo"
"8333","CFMITACDM1","FONDO MUTUO ITAÚ CASH DOLLAR","Money Market",NA
"8333","CFMITACDM4","FONDO MUTUO ITAÚ CASH DOLLAR","Money Market",NA
"8333","CFMITACDM3","FONDO MUTUO ITAÚ CASH DOLLAR","Money Market",NA
"8333","CFMITACDM2","FONDO MUTUO ITAÚ CASH DOLLAR","Money Market",NA
"9921","CFMITAINF1","FONDO MUTUO ITAÚ INCOME","Renta Fija",NA
"9921","CFMITAINF3","FONDO MUTUO ITAÚ INCOME","Renta Fija",NA
"9921","CFMITAINF2","FONDO MUTUO ITAÚ INCOME","Renta Fija",NA
"9921","CFMITAINIT","FONDO MUTUO ITAÚ INCOME","Renta Fija",NA
"8872","CFMLVACNAL","FONDO MUTUO LARRAINVIAL ACCIONES NACIONALES","Renta Variable",NA
"8872","CFMLVACNAX","FONDO MUTUO LARRAINVIAL ACCIONES NACIONALES","Renta Variable",NA
"8872","CFMLVACNAA","FONDO MUTUO LARRAINVIAL ACCIONES NACIONALES","Renta Variable",NA
"8872","CFMLVACNAF","FONDO MUTUO LARRAINVIAL ACCIONES NACIONALES","Renta Variable",NA
"8872","CFMLVACNAP","FONDO MUTUO LARRAINVIAL ACCIONES NACIONALES","Renta Variable",NA
"8872","CFMLVACNAI","FONDO MUTUO LARRAINVIAL ACCIONES NACIONALES","Renta Variable",NA
"8755","CFMLVAPLAF","FONDO MUTUO LARRAINVIAL AHORRO A PLAZO","Renta Fija",NA
"8755","CFMLVAPLAZ","FONDO MUTUO LARRAINVIAL AHORRO A PLAZO","Renta Fija",NA
"8755","CFMLVAPLAI","FONDO MUTUO LARRAINVIAL AHORRO A PLAZO","Renta Fija",NA
"8755","CFMLVAPLAP","FONDO MUTUO LARRAINVIAL AHORRO A PLAZO","Renta Fija",NA
"8755","CFMLVAHO-D","FONDO MUTUO LARRAINVIAL AHORRO A PLAZO","Renta Fija",NA
"8755","CFMLVAHORL","FONDO MUTUO LARRAINVIAL AHORRO A PLAZO","Renta Fija",NA
"10260","CFMELEAH-D","FONDO MUTUO LARRAINVIAL AHORRO ACTIVO","Balanceados",NA
"10260","CFMELEAH-L","FONDO MUTUO LARRAINVIAL AHORRO ACTIVO","Balanceados",NA
"8263","CFMLVAHCAF","FONDO MUTUO LARRAINVIAL AHORRO CAPITAL","Renta Fija",NA
"8263","CFMLVAHCAP","FONDO MUTUO LARRAINVIAL AHORRO CAPITAL","Renta Fija",NA
"8263","CFMLVAHCAI","FONDO MUTUO LARRAINVIAL AHORRO CAPITAL","Renta Fija",NA
"8263","CFMLVAHCAX","FONDO MUTUO LARRAINVIAL AHORRO CAPITAL","Renta Fija",NA
"8263","CFMLVAHCPP","FONDO MUTUO LARRAINVIAL AHORRO CAPITAL","Renta Fija",NA
"8263","CFMLVACAPL","FONDO MUTUO LARRAINVIAL AHORRO CAPITAL","Renta Fija",NA
"8315","CFMLVAHCOF","FONDO MUTUO LARRAINVIAL AHORRO CORPORATIVO","Renta Fija",NA
"8315","CFMLVAHCOA","FONDO MUTUO LARRAINVIAL AHORRO CORPORATIVO","Renta Fija",NA
"8315","CFMLVAHCOL","FONDO MUTUO LARRAINVIAL AHORRO CORPORATIVO","Renta Fija",NA
"8315","CFMLVAHCOI","FONDO MUTUO LARRAINVIAL AHORRO CORPORATIVO","Renta Fija",NA
"8315","CFMLVAHCOP","FONDO MUTUO LARRAINVIAL AHORRO CORPORATIVO","Renta Fija",NA
"9221","CFMLVAHDOF","FONDO MUTUO LARRAINVIAL AHORRO DÓLAR","Renta Fija",NA
"9221","CFMLVAHDOI","FONDO MUTUO LARRAINVIAL AHORRO DÓLAR","Renta Fija",NA
"9221","CFMLVAHDOA","FONDO MUTUO LARRAINVIAL AHORRO DÓLAR","Renta Fija",NA
"9221","CFMLVAHDOP","FONDO MUTUO LARRAINVIAL AHORRO DÓLAR","Renta Fija",NA
"8240","CFMLVAHESF","FONDO MUTUO LARRAINVIAL AHORRO ESTRATEGICO","Renta Fija",NA
"8240","CFMLVAHEST","FONDO MUTUO LARRAINVIAL AHORRO ESTRATEGICO","Renta Fija",NA
"8240","CFMLVAHESI","FONDO MUTUO LARRAINVIAL AHORRO ESTRATEGICO","Renta Fija",NA
"8240","CFMLVESTRL","FONDO MUTUO LARRAINVIAL AHORRO ESTRATEGICO","Renta Fija",NA
"8240","CFMLVAHESP","FONDO MUTUO LARRAINVIAL AHORRO ESTRATEGICO","Renta Fija",NA
"8240","CFMLVAHESD","FONDO MUTUO LARRAINVIAL AHORRO ESTRATEGICO","Renta Fija",NA
"9023","CFMLVASIAF","FONDO MUTUO LARRAINVIAL ASIA","Renta Variable",NA
"9023","CFMLVASIAL","FONDO MUTUO LARRAINVIAL ASIA","Renta Variable",NA
"9023","CFMLVASIAA","FONDO MUTUO LARRAINVIAL ASIA","Renta Variable",NA
"9023","CFMLVASIAP","FONDO MUTUO LARRAINVIAL ASIA","Renta Variable",NA
"9023","CFMLVASIAI","FONDO MUTUO LARRAINVIAL ASIA","Renta Variable",NA
"8502","CFMLVBOLTF","FONDO MUTUO LARRAINVIAL BONOS LATAM","Renta Fija",NA
"8502","CFMLVBLATI","FONDO MUTUO LARRAINVIAL BONOS LATAM","Renta Fija",NA
"8502","CFMLVBOLTA","FONDO MUTUO LARRAINVIAL BONOS LATAM","Renta Fija",NA
"8502","CFMLVBOLTP","FONDO MUTUO LARRAINVIAL BONOS LATAM","Renta Fija",NA
"8502","CFMLVBONLL","FONDO MUTUO LARRAINVIAL BONOS LATAM","Renta Fija",NA
"8502","CFMLVBOLAQ","FONDO MUTUO LARRAINVIAL BONOS LATAM","Renta Fija",NA
"9193","CFMLVESAGX","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA AGRESIVA","Balanceados",NA
"9193","CFMLVESAGL","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA AGRESIVA","Balanceados",NA
"9193","CFMLVESAGA","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA AGRESIVA","Balanceados",NA
"9193","CFMLVESAGD","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA AGRESIVA","Balanceados",NA
"9193","CFMLVESAGQ","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA AGRESIVA","Balanceados",NA
"10002","CFMLVCAADF","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA AGRESIVA DÓLAR","Balanceados",NA
"10002","CFMLVCAADA","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA AGRESIVA DÓLAR","Balanceados",NA
"9192","CFMLVESCOL","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA CONSERVADORA","Balanceados",NA
"9192","CFMLVESCOA","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA CONSERVADORA","Balanceados",NA
"9192","CFMLVESCOX","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA CONSERVADORA","Balanceados",NA
"9192","CFMLVESCOI","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA CONSERVADORA","Balanceados",NA
"9192","CFMLVESCOD","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA CONSERVADORA","Balanceados",NA
"9192","CFMLVESCOQ","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA CONSERVADORA","Balanceados",NA
"9853","CFMLVCACDF","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA CONSERVADORA DÓLAR","Balanceados",NA
"9853","CFMLVCACDA","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA CONSERVADORA DÓLAR","Balanceados",NA
"9853","CFMLVCACDI","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA CONSERVADORA DÓLAR","Balanceados",NA
"8172","CFMLVBHYGF","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA DEFENSIVA DÓLAR","Renta Fija",NA
"8172","CFMLVBHYGA","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA DEFENSIVA DÓLAR","Renta Fija",NA
"8172","CFMLVBHYGP","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA DEFENSIVA DÓLAR","Renta Fija",NA
"8172","CFMLVBHYGL","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA DEFENSIVA DÓLAR","Renta Fija",NA
"9190","CFMLVESMOL","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA MODERADA","Balanceados",NA
"9190","CFMLVESMOA","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA MODERADA","Balanceados",NA
"9190","CFMLVESMOX","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA MODERADA","Balanceados",NA
"9190","CFMLVESMOI","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA MODERADA","Balanceados",NA
"9190","CFMLVESMOD","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA MODERADA","Balanceados",NA
"9816","CFMLVCAMDF","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA MODERADA DÓLAR","Balanceados",NA
"9816","CFMLVCAMDA","FONDO MUTUO LARRAINVIAL CUENTA ACTIVA MODERADA DÓLAR","Balanceados",NA
